college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
devdaha medical college,bhaluhi8 devdaha butwal devdaha rupandehi,kathmandu university,bsc nursing mbbs,private institution,071403001 071403004,devdahamedicalcollegegmailcom,17,3,124
universal college of medical sciences and teaching hospital,bhairahawa siddharthanagar rupandehi,tribhuvan university,master in dental surgery mds master in nursing md general practice mdgp md in radio diagnosis md pathology md in obstetrics and gynaecology ms clinical otorhinolaryngology and head and neck surgery ms clinical anatomy msc clinical microbiology md clinical pharmacology md clinical physiology ms general surgery ms in orthopaedic and trauma surgery md in psychiatry md internal medicine md anaesthesiology master of public health mph mbbs bachelor of dental surgery bds bachelor of nursing science bns bsc medical imaging technology bsc mit bachelor of public health bph bsc nursing bachelor in medical laboratory technology bmlt bachelor of pharmacy b pharm md paediatrics,private institution,071522896 071522938,ucmscampuswlinkcomnp,34,3,120
nepalgunj medical college,nepalgunj kohalpur banke,kathmandu university,bsc nursing mbbs md anaesthesiology md dermatology md internal medicine md obstetrics and gynaecology md paediatrics md in psychiatry md radio diagnosis md pathology ms general surgery ms in orthopedics ms orthopedics ms otorhinolaryngology md community medicine,private institution,081540739 081521572 522932 523182,ngmc_npjwlinkcomnp,17,3,675
nepal medical college,attarkhel jorpati gokarneshwar kathmandu,kathmandu university,master in nursing msc n master in dental surgery mds dm nephrology mbbs bachelor of dental surgery bds bsc nursing md anaesthesiology md dermatology md internal medicine md obstetrics and gynaecology ms ophthalmology md paediatrics md in psychiatry md radio diagnosis md biochemistry md physiology md microbiology md pathology ms general surgery ms in orthopedics ms orthopedics md general practice mdgp ms otorhinolaryngology ms anatomy md community medicine mch gi surgery dm neurology,private institution,97714911008,principalnmcthedu,17,3,26
nobel medical college,biratnagar morang,council for technical education and vocational training,certificate in dental science dental hygiene certificate in medical laboratory technology cmlt diploma in pharmacy certificate in diagnostic radiography ms in orthopedics ms orthopedics md in psychiatry bachelor of physiotherapy bpt ms otorhinolaryngology ms general surgery md microbiology md forensic medicine md physiology md pharmacology md biochemistry md paediatrics ms ophthalmology md obstetrics and gynaecology md internal medicine md dermatology md community medicine bachelor in nursing science bns md pathology md radio diagnosis md anaesthesiology bachelor of dental surgery bds mbbs bsc nursing dm cardiology dm nephrology dm neurology mch neurosurgery mch urology dm neonatology dm pulmonology,private institution,97721460736 021461735,mgmtnobelmedicalcollegecomnp,7,3,168
birat medical college,tankisinwari biratnagar morang,kathmandu university,bsc laboratory medicine bsc nursing bachelor of physiotherapy bpt mbbs md anaesthesiology ms anatomy md biochemistry md community medicine ms general surgery md internal medicine md obstetrics and gynaecology ms ophthalmology ms in orthopedics ms orthopedics ms otorhinolaryngology md paediatrics md pathology md pharmacology md physiology md in psychiatry md radio diagnosis md microbiology,private institution,021421063,infobiratmedicalcollegecom,17,3,911
janaki medical college,ramadiya bhawadi janakpurdham janakpur chhireshwornath dhanusha,tribhuvan university,md general practice mdgp ms general surgery mbbs bachelor of nursing science bns,private institution,041620202 041520206,infojmceducomnp,34,3,756
chitwan medical college,bharatpur chitwan,tribhuvan university,master in nursing master in dental surgery mds master of public health mph msc clinical microbiology certificate in diagnostic radiography certificate in medical laboratory technology cmlt ms clinical otorhinolaryngology and head and neck surgery md general practice mdgp ms in orthopaedic and trauma surgery ms general surgery md microbiology md in radio diagnosis md in psychiatry md in obstetrics and gynaecology md internal medicine md anaesthesiology md paediatrics diploma in pharmacy certificate in dental science dental hygiene md pathology bachelor of dental surgery bds mbbs bachelor in medical laboratory technology bmlt bsc medical imaging technology bsc mit bachelor of nursing science bns bsc nursing bachelor of pharmacy b pharm bachelor of public health bph dm cardiology dm critical care medicine dm gastroenterology mch surgical gastroenterology,private institution,056592366 056592367,admincmcedunp,34,3,129
apex college,devkota sadak mid baneshwor kathmandu,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi bachelor of computer information systems bcis bba in travel and tourism bbatt master of business administration mba mbaevening mbaep,private institution,014467922  014478841,apexapexcollegeedunp,28,3,278
st lawrence sscollege,chabhil kathmandu,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca bachelor of business studies bbs bachelor of arts in social work basw master of business studies mbs ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 law 2 law ten plus two 2 humanities 2 humanities,private institution,01 4475891 01 4587864,infostlawrenceedunp,34,3,211
premier college,new baneshwor kathmandu,tribhuvan university,bachelor of business management bbm bachelor of business studies bbs bachelor of arts in social work basw master of business studies mbs cap  i cap  ii cap  iii,private institution,014790246  014107198,infopremiercollegeedunp,34,3,677
camad college,sukedhara kathmandu,pokhara university,bachelor in development studies bdevs bachelor of business administration bba,private institution,014650643  014375100,camadcollege7gmailcom,28,3,886
phoenix college of management,maitidevi kathmandu,lincoln university college,bachelor of information technology bit bachelor hons of business administration bba master of business administration mba master of computer science mcs,private institution,014539810,infophoenixcollegeedunp,19,3,600
college of business management,dillibazar kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of business studies bbs bachelor of business management bbm master of business studies mbs cap  i cap  ii cap  iii,private institution,014418869 014539716,infocbmedunp,24,3,313
janapriya multiple campus,pokhara pokhara lekhnath kaski,tribhuvan university,bachelor of business administration bba bsc environmental science bsc microbiology bachelor of arts ba bachelor of business studies bbs bachelor of education bed bachelor of mountain tourism management bmtm bachelor of information management bim bsc physics mba hospitality management master of business studies mbs,community institution,061572287  061531822,officejanapriyaedunp,34,1,729
nepal business college,buddha bihar marga janpath tole biratnagar morang,lincoln university college,bachelor hons of business administration bba bachelor of information technology bit bsc hons in hospitality management bhm master of business administration mba,private institution,97721470829470865,infonbcedunp,19,3,191
reliance college,saraswotinagar chabahil kathmandu,tribhuvan university,bachelor of arts ba bachelor of business studies bbs master of business studies mbs bachelor of computer application bca bachelor of arts in social work basw,private institution,014822336 014812445,makeitsurebnkgmailcom,34,3,822
kathmandu business campus,banasthali balaju 16 kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of computer application bca,private institution,014983777 014984777,infokbcampusedunp,34,3,61
forbes college,kshetrapur jalma hall square bharatpur chitwan,ehe european university euraka switzerland,bachelor in hospitality management bhm bcs it in cyber security  networking,private institution,056594300594301,infoforbescollegeedunp,10,3,532
shubhashree college of management,new baneshworopposite to eyeplex mall kathmandu,pokhara university,bachelor of hotel management bhm bachelor of business administration bba,private institution,014498528,infoshubhashreecollegecom,28,3,679
ismt college,tinkune gairigaun kathmandu,acca,bsc hons computer systems engineering ba hons business and management bba bsc hons international tourism and hospitality management bhm,private institution,014485278  014485279,admissionismtedunp,0,3,947
kantipur international college,buddhanagar kathmandu,purbanchal university,master of business administration mba bachelor of hospitality and catering management bachelor of hotel management bhm bachelor of architecture barch bachelor of civil engineering be civil bachelor of interior design bachelor of business administration bba master of hotel and hospitality management mhhm,private institution,014790564,reckantipurgmailcom,29,3,193
k and k international college,new baneshwor kathmandu,tribhuvan university,bachelor of business administration bba bachelor of business studies bbs bachelor of arts in social work basw bachelor of computer application bca ma in rural development mrd ma in gender studies ma in psychology ma psychology master of business studies mbs bachelor of arts in rural development brd bachelor of arts in psychology bpsy,private institution,014474557 014497515 014494474,infokandkedunp,34,3,677
citizen college,kumaripati lalitpur,pokhara university,bachelor of business administration bba bba in travel and tourism bbatt bachelor of computer application bca,private institution,015545685  015545684  015552134,infocitizencollegeedunp,28,3,536
patan college for professional studies,behind kan devtasthan kupondole lalitpur,university of bedfordshire,bachelor in business administration hons bba bsc hons in computer science  software engineering bsc hons csse with micro degree in ai,private institution,015181033 015181198,connectpatancollegeorg,36,3,103
lord buddha education foundation,maitidevi kathmandu,asia pacific university of technology  innovation,bachelor of business management hons bbm hons  e business bsc it cloud computing bsc hons in information technology bsc it bsc it network computing master of business administration weekend mbaweekend msc in information technology weekend msc itm msc in information technology msc it master of business administration mba,private institution,014424431  014411805  014443468,infolbeforg,3,3,600
triton international college,subidhanagar tinkune kathmandu,tribhuvan university,bachelor of arts in social work basw bachelor of business studies bbs bachelor of computer application bca master of business studies mbs,private institution,015104450 015104529,infotritonedunp,34,3,884
national college kubdevs bdfin boss,pragati tole dhumbarahi kathmandu,kathmandu university,bachelor in development finance bachelor in development studies bachelor of social sciences,private institution,014520871 014543511,infonationalcollegeedunp,17,3,732
everest college thapathali,thapathali kathmandu,national examinations board,ten plus two 2 management 2 mangement bachelor of business studies bbs bachelor of business administration bba bachelor of computer application bca bachelor of business management bbm master of business studies mbs,private institution,014231460 014266652,infoeverestcollegeedunp,24,3,932
global college of management,midbaneshwor kathmandu,national examinations board,bachelor of business studies bbs master of business studies mbs ten plus two 2 management 2 mangement,private institution,014490021  014490022,infoglobalcollegeedunp,24,3,643
sworgadwari multiple campus,bijuwar punyakhola pyuthan,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of education general med one year bachelor of education bed,community institution,086460089,sworgadwarimcgmailcom,34,1,164
global college international,baneshwor kathmandu,midwest university,bachelor of business administration bba bachelor of hotel management bhm bachelor of travel and tourism management bttm master of business administration mba mbaevening mbae,private institution,014465186  014488410,infogciedunp,23,3,72
kantipur city college,putalisadak kathmandu,purbanchal university,bachelor of civil engineering be civil bachelor of computer engineering bachelor of information technology bit bachelor of computer application bca bachelor of business administration bba master of computer application mca ma in mass communication and journalism mamcj post graduate diploma in computer application,private institution,,,29,3,745
kantipur engineering college,dhapakhel lalitpur,tribhuvan university,bachelor of civil engineering be civil bachelor of electronics communication and information engineering be bachelor of computer engineering be,private institution,,,34,3,289
kathmandu college of central state,soalteemode kalimati kathmandu,national examinations board,bachelor of computer application bca bachelor of business studies bbs bachelor of arts in social work basw master of business studies mbs ten plus two 2 management 2 mangement ten plus two 2 science 2 science ten plus two 2 education 2 education ten plus two 2 law 2 law ten plus two 2 humanities 2 humanities,private institution,,,24,3,877
atharva business college,bansbari near australian embassy maharajgunj kathmandu,pokhara university,bachelor of business administration bba bachelor of hotel management bhm bachelor of health care management bhcm,private institution,,,28,3,77
national model college for advanced learning,khusibu nayabazar kathmandu,tribhuvan university,bachelor of pharmacy b pharm,private institution,,,34,3,513
national college of food science and technology,khusibu kathmandu,tribhuvan university,bachelor of food technology btech food,private institution,,,34,3,512
national college nacolnist,lainchaur kathmandu,tribhuvan university,bsc microbiology bachelor of computer application bca bachelor of business management bbm bachelor of business studies bbs master of business studies mbs msc biotechnology msc microbiology,private institution,,,34,3,548
islington college,kamal pokhari kathmandu,london metropolitan university,bsc hons computing bsc hons computer networking and it security bsc hons multimedia technologies bsc hons mobile application development bsc hons computing with artificial intelligence bba with specialization in international business bba with specialization in digital business management bba with specialization in advertising and marketing bachelor degree in accounting  finance bba with specialisation in events and tourism management msc it  applied security,private institution,,,20,3,468
himalayan whitehouse international college,ramshahpath putalisadak kathmandu,purbanchal university,bachelor of business administration bba bachelor of hotel management bhm bachelor of civil engineering be civil btech in biotechnology bachelor of information technology bit bachelor in liberal arts and sciences blas master of business administration mba executive mba emba bachelor of computer engineering,private institution,,,29,3,773
presidential business school,thapagaun new baneshwor kathmandu,westcliff university ca usa,bachelor in business administration bba bsc information technology bsc it master in business administration mba msc in information technology mscit,private institution,,,40,3,931
fishtail mountain school of hospitality tourism and management,mustang chowk pokhara pokhara lekhnath kaski,taylors university malaysia,bachelor of international hospitality management hons diploma in international professional culinary arts diploma in culinary entrepreneurship,private institution,,,32,3,657
herald college kathmandu,bhagwati marga naxal kathmandu,university of wolverhampton,bsc hons international business management bibm bsc hons in computer science bit international master of business administration imba,private institution,,,38,3,117
sirjana college of fine arts,uttar dhoka sadak lazimpat kathmandu,tribhuvan university,bachelor of fine arts bfa bfa in painting bfa in sculpture bfa in graphic communications bfa in classical dance bfa in classical tabala bfa in classical vocal  instrumental bfa in traditional nepali sculpture bfa in traditional nepali painting ten plus two 2 humanities 2 humanities,community institution,014418455  014412634,sirjanacollegegmailcom,34,1,967
madan bhandari memorial college,new baneshwor kathmandu,national examinations board,bachelor of business studies bbs bachelor of business management bbm bachelor of computer application bca bsc computer science and information technology bsc csit bachelor of arts ba bachelor of arts in social work basw ma in english ma english ma in journalism and mass communication ma in sociology ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 science 2 science,community institution,015172175 015172682,infombmcedunp,24,1,677
national college of computer studies,paknajol kathmandu,tribhuvan university,bachelor of information management bim bachelor of hotel management bhm bsc computer science and information technology bsc csit bachelor of business management bbm bachelor of computer application bca,private institution,,,34,3,696
sahara campus,birendranagar08 birendranagar surkhet,tribhuvan university,bachelor of business studies bbs bachelor of computer application bca bachelor of information management bim,private institution,,,34,3,172
dav college,jawalakhel lalitpur,tribhuvan university,bachelor of business administration bba bachelor of business studies bbs bachelor of business management bbm bachelor of computer application bca bsc microbiology bsc physics bsc geology master of business studies mbs,private institution,,,34,3,436
aadim national college,chabahil chuchchepati kathmandu,tribhuvan university,bachelor of computer application bca bachelor of business studies bbs bachelor of arts ba bachelor of arts in social work basw bachelor of arts in psychology bpsy bachelor of arts in journalism and mass communication bajm,private institution,,,34,3,207
kathmandu college of technology,lokanthali madhyapur thimi bhaktapur,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca,private institution,,,34,3,572
silkroad international college,narayan gopal chowk kathmandu,purbanchal university,bachelor of business administration bba,private institution,,,29,3,661
liverpool international college,new baneshwor kathmandu,tribhuvan university,bachelor of business management bbm bachelor of business studies bbs bachelor of computer application bca bachelor of arts in social work basw,private institution,,,34,3,677
malpi international college,subarna shamsher marg baluwatar kathmandu,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi,private institution,,,28,3,883
national infotech college,shiromani tole  birgunj 18 birgunj parsa,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca,private institution,,,34,3,845
kantipur valley college,kumaripati lalitpur,purbanchal university,btech in biotechnology bachelor of business administration bba master of business administration mba executive mba emba,private institution,,,29,3,536
siddhartha multiple college,bafal kalanki kathmandu,national examinations board,bachelor of arts in social work basw bachelor of business studies bbs ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement ten plus two 2 science 2 science,private institution,,,24,3,34
everest engineering college,sanepa lalitpur,pokhara university,bachelor of computer engineering be computer bachelor of engineering in information technology be it bachelor of civil engineering,private institution,,,28,3,808
himalaya college of engineering,chyasal9 lalitpur,tribhuvan university,bachelor of civil engineering be civil bachelor of electronics communication and information engineering be bachelor of architecture barch bachelor of computer engineering be bsc computer science and information technology bsc csit bachelor of computer application bca,private institution,,,34,3,245
apollo international college,lakhechaur marg baneshwor kathmandu,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi bachelor of hotel management bhm,private institution,,,28,3,550
shepherd college,kanti marg new baneshwor10 kathmandu,purbanchal university,bachelor in media technology bmt masters in media technology mmt,private institution,,,29,3,475
iec college of art and fashion,mandikatar kathmandu,limkokwing university malaysia,ba hons in fashion and retailing ba in interior architecture,private institution,,,18,3,611
new summit college,shantinagar gate tinkune kathmandu,national examinations board,ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 law 2 law bsc computer science and information technology bsc csit bachelor of business studies bbs bachelor of computer application bca bachelor of business management bbm,private institution,,,24,3,841
universal college,shantinagar kathmandu,national examinations board,bachelor of business administration bba bachelor of business studies bbs bachelor of arts in social work basw bachelor of arts ba ma in english ma english,private institution,,,24,3,843
oscar international college college of film studies,sukhedhara kathmandu,tribhuvan university,bachelor in film studies bfs,private institution,,,34,3,889
universal engineering and science college,chakupat lalitpur,pokhara university,bachelor of civil engineering bachelor of computer engineering be computer,private institution,,,28,3,214
nagarik college,gaindakot nawalpur,tribhuvan university,bachelor of food technology btech food,private institution,,,34,3,337
siddhant campus,gaidakot gaindakot nawalpur,agriculture and forestry university,bsc in forestry,private institution,,,1,3,334
einstein college,mahalaxmi chowk lalitpur,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,592
gate  global academy of tourism and hospitality education,budhanilkanth9 mandikhatar budhanilakantha kathmandu,ecole hôtelière de lausanne,bachelor in professional hospitality bph bachelor in international hospitality management bihm diploma in culinary arts diploma in bakery certificate iii in commercial cookery sit30816,private institution,,,11,3,196
modern technical college,sanepa lalitpur,pokhara university,bsc medical laboratory technology bscmlt bachelor of pharmacy b pharm bachelor of public health bph,private institution,,,28,3,808
milestone international college,balkumari lalitpur,tribhuvan university,bachelor of business studies bbs ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement ten plus two 2 science 2 science,private institution,,,34,3,56
ccma college,putalisadak kathmandu,the institute of chartered accountants of nepal,cap  i cap  ii cap  iii,private institution,,,33,3,745
sann international college,chabahil bhatkeko pul kathmandu,purbanchal university,bsc in biotechnology bachelor of business administration bba,private institution,,,29,3,206
iims college,dhobidhara kathmandu,ucsi university,bachelor of international hospitality management hons bsc hons computing bachelor in computer science hons master of computer science mcs bachelor hons of business administration bba master of business administration mba,private institution,,,35,3,296
mrm college,banasthali next to global ime bank kathmandu,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi bachelor of business studies bbs bachelor of computer application bca,private institution,,,28,3,62
school of arts  kathmandu university,hattiban lalitpur,kathmandu university,bachelor in community development bcd bachelor in economics b econ bachelor in media studies bms bachelor of fine arts bfa bachelor in music ethnomusicology bmus master in music ethnomusicology mmus master in human and natural resource studies masters in landscapes management and heritage studies lamhs masters in development studies mds bachelor of arts in buddhist studies with himalayan language ma in buddhist studies master of fine arts mfa master in urban studies mus masters in media studies mms bachelor in yogic science and wellbeing bysw bachelor of craft and design bcd,public institution,015251294 015251306,kusoakuedunp,17,4,402
advanced college of engineering and management,kupondole lalitpur,tribhuvan university,bachelor of civil engineering be civil bachelor of electrical engineering be bachelor of computer engineering be bachelor of electronics communication and information engineering be bachelor of computer application bca,private institution,,,34,3,538
pushpalal memorial college,chabhil kathmandu,national examinations board,bachelor of business studies bbs bachelor of education bed bachelor of arts ba master of business studies mbs master of education general med bachelor of arts in social work basw ten plus two 2 law 2 law ten plus two 2 humanities 2 humanities ten plus two 2 science 2 science ten plus two 2 education 2 education ten plus two 2 management 2 mangement,private institution,,,24,3,211
masters program in counseling psychology tribhuvan university ceda building,kirtipur kathmandu,tribhuvan university,masters in counseling psychology mcp,public institution,014332330,,34,4,515
navodit college,samakhusi kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts ba master of business studies mbs ten plus two 2 education 2 education ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement ten plus two 2 science 2 science,private institution,,,34,3,803
sigma college,sorakhutte kathmandu,tribhuvan university,bachelor of education bed bachelor of arts ba bachelor of business studies bbs,private institution,,,34,3,879
balkumari college,narayangarh bharatpur chitwan,tribhuvan university,bachelor of hotel management bhm bachelor of business studies bbs bachelor of education bed bsc environmental science bsc microbiology master of business studies mbs bachelor of education in information communication technology bicte master of education general med bachelor of business administration bba bachelor of information management bim mba financial management mbafm,community institution,056521842 056533205 056526527,infobalkumaricollegeedunp,34,1,662
himalaya college,koteshwor kathmandu,national examinations board,bachelor of business studies bbs bachelor of arts ba bachelor of arts in social work basw master of business studies mbs ten plus two 2 science 2 science ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement ten plus two 2 law 2 law ten plus two 2 education 2 education,private institution,,,24,3,529
arunima college,bauddha kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of computer application bca,private institution,,,34,3,100
ojashwi college,gwarko lalitpur,tribhuvan university,bachelor of business studies bbs bachelor of computer application bca bachelor of business management bbm master of business studies mbs,private institution,,,34,3,391
himalayan college of learning excellence,gaushala siphal kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts ba bachelor of computer application bca,private institution,,,34,3,360
central college of business management,sinamangal9 kathmandu,pokhara university,bachelor of business administration bba bachelor of hotel management bhm bachelor of health care management bhcm,private institution,,,28,3,865
dibyabhumi multiple college,kupondole lalitpur,tribhuvan university,bachelor of arts in social work basw bachelor of computer application bca bachelor of arts in journalism and mass communication bajm bachelor of arts in gender studies bachelor of arts in psychology bpsy bachelor of arts in rural development brd bachelor of arts in major english ba major english,private institution,,,34,3,538
birgunj public college,birgunj parsa,national examinations board,master of business studies mbs bachelor of business studies bbs bachelor of business administration bba master of business administration mba cap  i ten plus two 2 management 2 mangement bachelor of information management bim,private institution,,,24,3,178
jubilant college,kalimati kathmandu,national examinations board,bachelor of business studies bbs ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities,private institution,,,24,3,467
vs niketan college,minbhawan kathmandu,pokhara university,bachelor of business administration bba executive mba emba,private institution,,,28,3,647
achs college of it and computer science,dhobidhara putalisadak kathmandu,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca,private institution,,,34,3,297
national integrated college,dillibazar kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 science 2 science ten plus two 2 humanities 2 humanities bachelor of arts ba bachelor of business studies bbs bachelor of arts in social work basw bachelor of computer application bca bachelor in hospitality management bhm,private institution,,,24,3,313
gyankunj college,ravibhawan kathmandu,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,786
greenfield national college,bafal chetana marg nagarjun kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts in social work basw bachelor of business management bbm bachelor of computer application bca master of business studies mbs,private institution,,,34,3,33
baneshwor multiple campus,shantinagar kathmandu,national examinations board,bachelor of arts ba bachelor of education bed bachelor of business studies bbs master of business studies mbs ma in sociology ma in anthropology ma anthropology ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement,community institution,014620310 014620332,baneshworcampus2047yahoocom,24,1,843
caribbean college,kumaripati lalitpur,tribhuvan university,bachelor of business studies bbs master of business studies mbs bachelor of computer application bca,private institution,,,34,3,536
british gurkha college,bansbari kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts ba,private institution,,,34,3,79
unique college of management,kumaripati lalitpur,tribhuvan university,bachelor of business studies bbs master of business studies mbs bachelor of arts ba bachelor of arts in social work basw,private institution,,,34,3,536
whitefield international college,nayabazaar town planning kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of computer application bca,private institution,,,34,3,670
national college of management and technical science ncmt college,samakhusi ranibari kathmandu,lincoln university college,bachelor hons of business administration bba bsc hons in hospitality management bhm bachelor of information technology bit master of business administration mba,private institution,,,19,3,804
virinchi college,kumaripati lalitpur,asia e university,bachelor of information and communication technology bict master of business administration mba,private institution,,,4,3,536
adharsheela college,balaju16 nayabazaar kathmandu,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of arts in social work basw,private institution,,,34,3,53
itahari international college,sundar dulari  10 sundar dulari ratuwamai morang,london metropolitan university,bba marketing with international business bba accounting  finance with international business bsc hons computing bba international business,private institution,,,20,3,892
sagarmatha multiple college,dillibazar kathmandu,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of arts ba ma in sociology and anthropology bachelor of business administration bba bachelor of business management bbm,private institution,,,24,3,313
asian college of higher studies  school of management,jawalakhel lalitpur,national examinations board,ten plus two 2 management 2 mangement bachelor of business studies bbs bachelor of business management bbm,private institution,,,24,3,436
patan nista campus,bakhundole 03 lalitpur,tribhuvan university,bachelor of computer application bca master of business studies mbs bachelor of business studies bbs,private institution,,,34,3,51
sudur pashchimanchal campus,dhangadhi2 santoshi tole dhangadhi kailali,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of business studies mbs bachelor of hotel management bhm bachelor of information management bim,private institution,,,34,3,282
platinum management college,kalikasthan dillibazar kathmandu,pokhara university,bachelor of business administration bba bachelor of hotel management bhm,private institution,,,28,3,466
the times international college,dillibazar kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts in social work basw bachelor of business management bbm bachelor of computer application bca master of business studies mbs,private institution,,,34,3,313
capitol hill college kathmandu,teku kathmandu,tribhuvan university,bachelor of business studies bbs master of business studies mbs,private institution,,,34,3,920
college of applied food and dairy technology,purnachandi road kumaripati lalitpur,council for technical education and vocational training,bachelor in food and dairy technology msc nutrition and dietetics diploma in fooddairy technology,private institution,,,7,3,741
herald international college,basundhara kathmandu,national examinations board,bachelor of business studies bbs bachelor of arts in social work basw ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement ten plus two 2 science 2 science,private institution,,,24,3,94
canvas international college,basundhara kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts in social work basw master of business studies mbs ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 science 2 science ten plus two 2 law 2 law bachelor of science general bsc,private institution,,,34,3,94
pentagon international college,tinkune kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts in social work basw bachelor of arts ba,private institution,,,34,3,948
boudha multiple campus,boudha kathmandu,tribhuvan university,ma in buddhism and peace studies bachelor of business studies bbs,community institution,014915364  014915592  014471628,community3333gmailcom,34,1,190
karfok bidya mandir multiple campus,suryodaya ilam,purbanchal university,bachelor of business studies bbs bachelor of education bed bachelor of arts ba,community institution,97727 555091,,29,1,903
siddhartha gautam buddha campus,butwal rupandehi,national examinations board,bachelor of education bed bachelor of business studies bbs master of business studies mbs med in english language education ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education master of education in health education med med curriculum and evaluation,community institution,071541301 071697111,infosgbcedunp,24,1,200
kalika multiple campus,kajipokhari pokhara pokhara lekhnath kaski,national examinations board,bachelor of business studies bbs bachelor of education bed bachelor of arts ba ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ma in rural development mrd master of business studies mbs,community institution,061430385,kalikamultiplecampusgmailcom,24,1,455
surya bhakta patanadevi memorial college,gaindakot2 gaindakot gaidakot nawalpur,national examinations board,bachelor of education bed bachelor of arts ba bachelor of business studies bbs ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement,community institution,056501079 056693309,spmcollege2006gmailcom,24,1,339
khwopa engineering college,libali bhaktapur,purbanchal university,bachelor of architecture barch bachelor of civil engineering be civil bachelor of computer engineering bachelor in electronics communication and automation engineering master of engineering in earthquake msc in urban design and conservation,community institution,016614794 016614798,khecwlinkcomnp,29,1,570
kailali multiple campus,dhangadi dhangadhi kailali,national examinations board,bachelor of business administration bba bsc agriculture bscag bsc in computer science and information technology bsc csit bachelor of business studies bbs bachelor of business management bbm bsc physics bachelor of arts ba bachelor of arts in social work basw bachelor of arts bachelor of law ballb bsc biology bachelor of education bed bed computer science and information technology master of arts ma master of business management mbm master of business administration mba master of education med master of business studies mbs mba in entrepreneurship mbae,community institution,091521223  091526293,kmckailaligmailcom,24,1,283
masters program in sports science tribhuvan university,kirtipur kathmandu,tribhuvan university,master in sports science mss,community institution,,,34,1,515
valmeeki vidyapeeth,exhibition road putalisadak kathmandu,nepal sanskrit university,uttar madhyama shastri acharya,constituent institution,97714227193,infobalmikinsuedunp,25,2,327
pindeshwar vidyapeeth,dharan sunsari,nepal sanskrit university,uttar madhyama acharya,constituent institution,025520285,pindeshworvnsuedunp,25,2,291
school of management  purbanchal university,biratnagar morang,purbanchal university,bachelor of business administration bba master of business administration mba bachelor of hotel management bhm mphil management phd in management,constituent institution,021534027,mgcampuswlinkcomnp,29,2,168
school of engineering  purbanchal university,biratnagar morang,purbanchal university,bachelor of civil engineering be civil bachelor in electronics communication and automation engineering bachelor of computer engineering bachelor of electrical engineering,constituent institution,021461270 021462179,pusetntcnetnp,29,2,168
school of public health  patan academy of health sciences,lagankhel lalitpur,patan academy of health sciences,master of public health mph,constituent institution,015545112,pahspahsedunp,27,2,546
